timestamp,asset_id,asset_type,sf6_pressure_bar,busbar_temp_c,busbar_delta_t,voltage_stability_pu,overall_status
2024-01-01 03:00:00,SUB-01,Substation,5.706,32.17,7.17,1.0003,Normal
2024-01-01 03:05:00,SUB-02,Substation,5.763,32.29,7.29,1.0048,Normal
2024-01-01 03:10:00,SUB-03,Substation,5.757,31.43,6.43,1.0077,Normal
2024-01-01 03:15:00,SUB-01,Substation,5.761,31.79,6.79,0.9964,Normal
2024-01-01 03:20:00,SUB-02,Substation,5.743,31.75,6.75,1.0049,Normal
2024-01-01 03:25:00,SUB-03,Substation,5.815,31.89,6.89,0.996,Normal
2024-01-01 03:30:00,SUB-01,Substation,5.791,31.82,6.82,0.9892,Normal
2024-01-01 03:35:00,SUB-02,Substation,5.792,31.65,6.65,0.9926,Normal
2024-01-01 03:40:00,SUB-03,Substation,5.851,31.89,6.89,1.004,Normal
2024-01-01 03:45:00,SUB-01,Substation,5.815,32.23,7.23,1.0075,Normal
2024-01-01 03:50:00,SUB-02,Substation,5.865,32.43,7.43,0.9968,Normal
2024-01-01 03:55:00,SUB-03,Substation,5.92,32.01,7.01,0.9998,Normal
2024-01-01 04:00:00,SUB-01,Substation,6.01,31.1,6.1,0.9927,Normal
2024-01-01 04:05:00,SUB-02,Substation,6.037,31.93,6.93,0.999,Normal
2024-01-01 04:10:00,SUB-03,Substation,5.986,32.22,7.22,1.0028,Normal
2024-01-01 04:15:00,SUB-01,Substation,6.02,31.26,6.26,1.0031,Normal
2024-01-01 04:20:00,SUB-02,Substation,5.984,32.08,7.08,1.0037,Normal
2024-01-01 04:25:00,SUB-03,Substation,6.003,32.45,7.45,0.9991,Normal
2024-01-01 04:30:00,SUB-01,Substation,5.972,32.52,7.52,0.9947,Normal
2024-01-01 04:35:00,SUB-02,Substation,5.974,31.6,6.6,1.0026,Warning
2024-01-01 04:40:00,SUB-03,Substation,5.902,31.85,6.85,1.0016,Warning
2024-01-01 04:45:00,SUB-01,Substation,5.891,32.84,7.84,1.0024,Normal
2024-01-01 04:50:00,SUB-02,Substation,5.847,32.09,7.09,0.9948,Normal
2024-01-01 04:55:00,SUB-03,Substation,5.785,31.29,6.29,0.9996,Normal
2024-01-01 05:00:00,SUB-01,Substation,5.782,32.45,7.45,0.9981,Normal
2024-01-01 05:05:00,SUB-02,Substation,5.83,32.17,7.17,1.0086,Normal
2024-01-01 05:10:00,SUB-03,Substation,5.906,32.59,7.59,1.0026,Normal
2024-01-01 05:15:00,SUB-01,Substation,5.908,32.07,7.07,0.9909,Normal
2024-01-01 05:20:00,SUB-02,Substation,5.958,31.74,6.74,0.9983,Normal
2024-01-01 05:25:00,SUB-03,Substation,6.042,31.64,6.64,1.0015,Normal
2024-01-01 05:30:00,SUB-01,Substation,6.005,32.8,7.8,1.0091,Normal
2024-01-01 05:35:00,SUB-02,Substation,5.988,32.1,7.1,1.0047,Normal
2024-01-01 05:40:00,SUB-03,Substation,6.059,31.69,6.69,1.0088,Normal
2024-01-01 05:45:00,SUB-01,Substation,6.031,31.34,6.34,1.0055,Normal
2024-01-01 05:50:00,SUB-02,Substation,6.009,32.21,7.21,0.9955,Normal
2024-01-01 05:55:00,SUB-03,Substation,5.971,31.91,6.91,0.9932,Normal
2024-01-01 06:00:00,SUB-01,Substation,6.037,31.54,6.54,0.9905,Normal
2024-01-01 06:05:00,SUB-02,Substation,5.968,32.32,7.32,1.0072,Normal
2024-01-01 06:10:00,SUB-03,Substation,5.859,31.09,6.09,1.011,Normal
2024-01-01 06:15:00,SUB-01,Substation,5.775,31.99,6.99,1.0017,Normal
2024-01-01 06:20:00,SUB-02,Substation,5.746,31.38,6.38,1.0079,Normal
2024-01-01 06:25:00,SUB-03,Substation,5.814,32.08,7.08,1.0068,Normal
2024-01-01 06:30:00,SUB-01,Substation,5.767,32.51,7.51,1.008,Normal
2024-01-01 06:35:00,SUB-02,Substation,5.773,31.73,6.73,0.9988,Normal
2024-01-01 06:40:00,SUB-03,Substation,5.744,31.74,6.74,1.0054,Normal
2024-01-01 06:45:00,SUB-01,Substation,5.77,32.14,7.14,1.0064,Warning
2024-01-01 06:50:00,SUB-02,Substation,5.744,32.47,7.47,0.9896,Normal
2024-01-01 06:55:00,SUB-03,Substation,5.716,32.57,7.57,1.0057,Normal
2024-01-01 07:00:00,SUB-01,Substation,5.735,31.84,6.84,1.0021,Normal
2024-01-01 07:05:00,SUB-02,Substation,5.836,31.95,6.95,1.0037,Normal
2024-01-01 07:10:00,SUB-03,Substation,5.891,31.84,6.84,1.0029,Normal
2024-01-01 07:15:00,SUB-01,Substation,5.88,32.03,7.03,0.9974,Normal
2024-01-01 07:20:00,SUB-02,Substation,5.879,32.08,7.08,1.0162,Normal
2024-01-01 07:25:00,SUB-03,Substation,5.832,31.71,6.71,0.9985,Warning
2024-01-01 07:30:00,SUB-01,Substation,5.87,31.72,6.72,0.9966,Warning
2024-01-01 07:35:00,SUB-02,Substation,5.91,32.34,7.34,1.0043,Normal
2024-01-01 07:40:00,SUB-03,Substation,5.947,32.0,7.0,1.0062,Normal
2024-01-01 07:45:00,SUB-01,Substation,5.983,32.33,7.33,0.999,Normal
2024-01-01 07:50:00,SUB-02,Substation,5.921,31.36,6.36,1.005,Normal
2024-01-01 07:55:00,SUB-03,Substation,5.919,32.07,7.07,1.0001,Normal
2024-01-01 08:00:00,SUB-01,Substation,5.823,31.8,6.8,1.0045,Normal
2024-01-01 08:05:00,SUB-02,Substation,5.816,32.15,7.15,0.9986,Normal
2024-01-01 08:10:00,SUB-03,Substation,5.884,31.49,6.49,1.0064,Normal
2024-01-01 08:15:00,SUB-01,Substation,5.86,32.25,7.25,1.0015,Normal
2024-01-01 08:20:00,SUB-02,Substation,5.846,30.88,5.88,0.9998,Normal
2024-01-01 08:25:00,SUB-03,Substation,5.923,31.9,6.9,0.9963,Normal
2024-01-01 08:30:00,SUB-01,Substation,5.969,32.32,7.32,1.0043,Normal
2024-01-01 08:35:00,SUB-02,Substation,5.893,32.18,7.18,1.0062,Normal
2024-01-01 08:40:00,SUB-03,Substation,5.817,31.57,6.57,0.9973,Normal
2024-01-01 08:45:00,SUB-01,Substation,5.825,32.03,7.03,0.9963,Normal
2024-01-01 08:50:00,SUB-02,Substation,5.813,32.31,7.31,0.9969,Normal
2024-01-01 08:55:00,SUB-03,Substation,5.778,32.55,7.55,0.9944,Normal
2024-01-01 09:00:00,SUB-01,Substation,5.788,32.9,7.9,1.0122,Normal
2024-01-01 09:05:00,SUB-02,Substation,5.856,31.96,6.96,1.0069,Normal
2024-01-01 09:10:00,SUB-03,Substation,5.847,31.83,6.83,1.0061,Warning
2024-01-01 09:15:00,SUB-01,Substation,5.87,31.93,6.93,0.9923,Normal
2024-01-01 09:20:00,SUB-02,Substation,5.882,30.52,5.52,0.9984,Normal
2024-01-01 09:25:00,SUB-03,Substation,5.868,32.12,7.12,1.008,Normal
2024-01-01 09:30:00,SUB-01,Substation,5.916,32.02,7.02,1.006,Normal
2024-01-01 09:35:00,SUB-02,Substation,5.85,31.81,6.81,0.998,Normal
2024-01-01 09:40:00,SUB-03,Substation,5.694,32.44,7.44,0.9852,Normal
2024-01-01 09:45:00,SUB-01,Substation,5.712,32.01,7.01,0.9976,Normal
2024-01-01 09:50:00,SUB-02,Substation,5.826,32.57,7.57,0.9968,Normal
2024-01-01 09:55:00,SUB-03,Substation,5.858,32.22,7.22,1.0055,Normal
2024-01-01 10:00:00,SUB-01,Substation,5.843,31.37,6.37,0.9992,Normal
2024-01-01 10:05:00,SUB-02,Substation,5.808,31.82,6.82,1.0057,Normal
2024-01-01 10:10:00,SUB-03,Substation,5.725,32.28,7.28,0.9986,Normal
2024-01-01 10:15:00,SUB-01,Substation,5.783,31.56,6.56,1.0062,Normal
2024-01-01 10:20:00,SUB-02,Substation,5.766,31.97,6.97,0.9903,Normal
2024-01-01 10:25:00,SUB-03,Substation,5.835,31.36,6.36,1.0026,Normal
2024-01-01 10:30:00,SUB-01,Substation,5.867,31.46,6.46,1.0112,Normal
2024-01-01 10:35:00,SUB-02,Substation,5.839,31.61,6.61,1.0,Normal
2024-01-01 10:40:00,SUB-03,Substation,5.938,32.07,7.07,0.9956,Normal
2024-01-01 10:45:00,SUB-01,Substation,5.964,31.06,6.06,1.0011,Normal
2024-01-01 10:50:00,SUB-02,Substation,6.029,31.68,6.68,1.0007,Normal
2024-01-01 10:55:00,SUB-03,Substation,5.904,31.95,6.95,1.0016,Normal
2024-01-01 11:00:00,SUB-01,Substation,5.92,32.66,7.66,0.9967,Normal
2024-01-01 11:05:00,SUB-02,Substation,5.873,31.8,6.8,0.99,Normal
2024-01-01 11:10:00,SUB-03,Substation,5.862,31.92,6.92,1.0025,Normal
2024-01-01 11:15:00,SUB-01,Substation,5.851,31.8,6.8,1.0025,Normal
2024-01-01 11:20:00,SUB-02,Substation,5.841,31.93,6.93,0.9922,Normal
2024-01-01 11:25:00,SUB-03,Substation,5.778,32.13,7.13,0.9988,Normal
2024-01-01 11:30:00,SUB-01,Substation,5.754,32.05,7.05,0.9966,Normal
2024-01-01 11:35:00,SUB-02,Substation,5.776,31.72,6.72,1.0009,Normal
2024-01-01 11:40:00,SUB-03,Substation,5.76,31.9,6.9,1.0103,Warning
2024-01-01 11:45:00,SUB-01,Substation,5.754,32.34,7.34,1.0033,Normal
2024-01-01 11:50:00,SUB-02,Substation,5.762,31.93,6.93,0.9878,Normal
2024-01-01 11:55:00,SUB-03,Substation,5.676,31.66,6.66,0.9961,Normal
2024-01-01 12:00:00,SUB-01,Substation,5.639,31.88,6.88,0.9998,Normal
2024-01-01 12:05:00,SUB-02,Substation,5.681,32.28,7.28,1.0016,Normal
2024-01-01 12:10:00,SUB-03,Substation,5.715,32.49,7.49,0.9981,Normal
2024-01-01 12:15:00,SUB-01,Substation,5.698,32.11,7.11,1.0021,Normal
2024-01-01 12:20:00,SUB-02,Substation,5.818,32.1,7.1,1.0077,Warning
2024-01-01 12:25:00,SUB-03,Substation,5.871,32.34,7.34,0.9921,Normal
2024-01-01 12:30:00,SUB-01,Substation,5.911,31.95,6.95,0.9999,Normal
2024-01-01 12:35:00,SUB-02,Substation,5.886,32.9,7.9,0.998,Warning
2024-01-01 12:40:00,SUB-03,Substation,5.947,31.59,6.59,1.0026,Normal
2024-01-01 12:45:00,SUB-01,Substation,5.842,32.21,7.21,0.9996,Normal
2024-01-01 12:50:00,SUB-02,Substation,5.897,31.91,6.91,1.0057,Normal
2024-01-01 12:55:00,SUB-03,Substation,5.838,31.64,6.64,0.998,Normal
2024-01-01 13:00:00,SUB-01,Substation,5.837,31.78,6.78,1.0066,Normal
2024-01-01 13:05:00,SUB-02,Substation,5.78,32.12,7.12,0.9936,Normal
2024-01-01 13:10:00,SUB-03,Substation,5.849,31.59,6.59,1.0112,Normal
2024-01-01 13:15:00,SUB-01,Substation,5.927,32.45,7.45,1.005,Normal
2024-01-01 13:20:00,SUB-02,Substation,5.967,32.01,7.01,1.0091,Normal
2024-01-01 13:25:00,SUB-03,Substation,5.904,31.54,6.54,1.0045,Normal
2024-01-01 13:30:00,SUB-01,Substation,5.931,31.81,6.81,0.9985,Normal
2024-01-01 13:35:00,SUB-02,Substation,5.984,32.3,7.3,0.9991,Normal
2024-01-01 13:40:00,SUB-03,Substation,5.918,31.82,6.82,0.997,Normal
2024-01-01 13:45:00,SUB-01,Substation,5.851,31.17,6.17,1.0046,Normal
2024-01-01 13:50:00,SUB-02,Substation,5.909,31.58,6.58,1.0112,Normal
2024-01-01 13:55:00,SUB-03,Substation,5.881,31.88,6.88,1.0079,Normal
2024-01-01 14:00:00,SUB-01,Substation,5.953,31.24,6.24,1.0044,Normal
2024-01-01 14:05:00,SUB-02,Substation,5.961,32.42,7.42,1.0078,Normal
2024-01-01 14:10:00,SUB-03,Substation,5.971,31.36,6.36,0.9958,Warning
2024-01-01 14:15:00,SUB-01,Substation,5.976,32.24,7.24,1.0009,Normal
2024-01-01 14:20:00,SUB-02,Substation,5.987,32.12,7.12,0.9978,Normal
2024-01-01 14:25:00,SUB-03,Substation,5.936,32.65,7.65,1.0157,Normal
2024-01-01 14:30:00,SUB-01,Substation,5.986,32.04,7.04,1.0027,Normal
2024-01-01 14:35:00,SUB-02,Substation,6.001,32.02,7.02,1.0077,Normal
2024-01-01 14:40:00,SUB-03,Substation,6.072,32.35,7.35,0.9936,Normal
2024-01-01 14:45:00,SUB-01,Substation,5.97,31.74,6.74,0.9939,Normal
2024-01-01 14:50:00,SUB-02,Substation,6.071,33.13,8.13,1.0038,Normal
2024-01-01 14:55:00,SUB-03,Substation,6.018,31.75,6.75,0.9959,Normal
2024-01-01 15:00:00,SUB-01,Substation,5.961,32.34,7.34,1.0054,Normal
2024-01-01 15:05:00,SUB-02,Substation,5.939,32.34,7.34,0.9974,Normal
2024-01-01 15:10:00,SUB-03,Substation,5.928,32.13,7.13,1.0007,Normal
2024-01-01 15:15:00,SUB-01,Substation,6.004,31.61,6.61,0.9944,Warning
2024-01-01 15:20:00,SUB-02,Substation,6.054,32.17,7.17,1.0012,Normal
2024-01-01 15:25:00,SUB-03,Substation,6.102,32.23,7.23,1.0047,Normal
2024-01-01 15:30:00,SUB-01,Substation,6.089,32.63,7.63,0.9953,Normal
2024-01-01 15:35:00,SUB-02,Substation,6.077,32.26,7.26,1.0045,Normal
2024-01-01 15:40:00,SUB-03,Substation,5.98,31.87,6.87,1.0007,Normal
2024-01-01 15:45:00,SUB-01,Substation,5.986,31.88,6.88,1.0127,Normal
2024-01-01 15:50:00,SUB-02,Substation,5.875,32.04,7.04,1.0027,Normal
2024-01-01 15:55:00,SUB-03,Substation,5.915,31.89,6.89,0.9971,Normal
2024-01-01 16:00:00,SUB-01,Substation,5.891,31.45,6.45,1.0066,Normal
2024-01-01 16:05:00,SUB-02,Substation,5.866,32.32,7.32,0.9982,Warning
2024-01-01 16:10:00,SUB-03,Substation,5.873,31.62,6.62,1.0011,Normal
2024-01-01 16:15:00,SUB-01,Substation,5.796,31.79,6.79,0.9987,Normal
2024-01-01 16:20:00,SUB-02,Substation,5.834,31.47,6.47,1.0013,Normal
2024-01-01 16:25:00,SUB-03,Substation,5.899,32.1,7.1,1.0066,Normal
2024-01-01 16:30:00,SUB-01,Substation,5.932,31.94,6.94,0.998,Normal
2024-01-01 16:35:00,SUB-02,Substation,5.965,31.35,6.35,1.0066,Normal
2024-01-01 16:40:00,SUB-03,Substation,5.969,32.37,7.37,1.0002,Normal
2024-01-01 16:45:00,SUB-01,Substation,5.937,31.44,6.44,0.9927,Normal
2024-01-01 16:50:00,SUB-02,Substation,5.877,31.77,6.77,1.0058,Normal
2024-01-01 16:55:00,SUB-03,Substation,5.829,32.12,7.12,0.991,Normal
2024-01-01 17:00:00,SUB-01,Substation,5.845,32.17,7.17,0.995,Normal
2024-01-01 17:05:00,SUB-02,Substation,5.834,31.78,6.78,1.0058,Normal
2024-01-01 17:10:00,SUB-03,Substation,5.774,32.32,7.32,1.0066,Normal
2024-01-01 17:15:00,SUB-01,Substation,5.801,31.99,6.99,1.0053,Normal
2024-01-01 17:20:00,SUB-02,Substation,5.839,31.75,6.75,0.9985,Normal
2024-01-01 17:25:00,SUB-03,Substation,5.843,31.86,6.86,1.0001,Normal
2024-01-01 17:30:00,SUB-01,Substation,5.868,31.46,6.46,0.9986,Normal
2024-01-01 17:35:00,SUB-02,Substation,5.811,32.61,7.61,0.9934,Normal
2024-01-01 17:40:00,SUB-03,Substation,5.935,31.44,6.44,0.9925,Normal
2024-01-01 17:45:00,SUB-01,Substation,5.924,33.12,8.12,1.0028,Normal
2024-01-01 17:50:00,SUB-02,Substation,5.911,31.89,6.89,1.0004,Normal
2024-01-01 17:55:00,SUB-03,Substation,5.923,32.1,7.1,0.9962,Normal
2024-01-01 18:00:00,SUB-01,Substation,5.826,31.78,6.78,0.9991,Normal
2024-01-01 18:05:00,SUB-02,Substation,5.833,31.7,6.7,0.9976,Normal
2024-01-01 18:10:00,SUB-03,Substation,5.774,32.15,7.15,0.994,Normal
2024-01-01 18:15:00,SUB-01,Substation,5.734,33.1,8.1,1.0045,Normal
2024-01-01 18:20:00,SUB-02,Substation,5.835,31.47,6.47,0.9851,Normal
2024-01-01 18:25:00,SUB-03,Substation,5.772,31.71,6.71,1.0041,Normal
2024-01-01 18:30:00,SUB-01,Substation,5.789,32.21,7.21,0.9993,Normal
2024-01-01 18:35:00,SUB-02,Substation,5.698,31.75,6.75,0.9946,Normal
2024-01-01 18:40:00,SUB-03,Substation,5.729,31.83,6.83,0.9939,Normal
2024-01-01 18:45:00,SUB-01,Substation,5.756,31.83,6.83,1.008,Normal
2024-01-01 18:50:00,SUB-02,Substation,5.734,31.68,6.68,1.0037,Normal
2024-01-01 18:55:00,SUB-03,Substation,5.823,32.32,7.32,0.9935,Normal
2024-01-01 19:00:00,SUB-01,Substation,5.778,31.65,6.65,1.0064,Normal
2024-01-01 19:05:00,SUB-02,Substation,5.744,31.61,6.61,0.9997,Normal
2024-01-01 19:10:00,SUB-03,Substation,5.649,32.86,7.86,1.0059,Normal
2024-01-01 19:15:00,SUB-01,Substation,5.701,32.04,7.04,1.005,Normal
2024-01-01 19:20:00,SUB-02,Substation,5.668,31.98,6.98,1.0061,Normal
2024-01-01 19:25:00,SUB-03,Substation,5.679,31.14,6.14,0.9992,Normal
2024-01-01 19:30:00,SUB-01,Substation,5.689,31.12,6.12,1.001,Normal
2024-01-01 19:35:00,SUB-02,Substation,5.689,31.9,6.9,1.0082,Normal
2024-01-01 19:40:00,SUB-03,Substation,5.653,32.3,7.3,0.9968,Normal
2024-01-01 19:45:00,SUB-01,Substation,5.674,31.83,6.83,1.0023,Normal
2024-01-01 19:50:00,SUB-02,Substation,5.722,31.76,6.76,0.9998,Normal
2024-01-01 19:55:00,SUB-03,Substation,5.679,32.55,7.55,0.995,Normal
2024-01-01 20:00:00,SUB-01,Substation,5.655,31.81,6.81,0.9982,Normal
2024-01-01 20:05:00,SUB-02,Substation,5.725,33.33,8.33,1.0036,Normal
2024-01-01 20:10:00,SUB-03,Substation,5.724,32.48,7.48,1.0046,Normal
2024-01-01 20:15:00,SUB-01,Substation,5.702,32.35,7.35,1.0028,Normal
2024-01-01 20:20:00,SUB-02,Substation,5.728,32.15,7.15,0.9913,Normal
2024-01-01 20:25:00,SUB-03,Substation,5.781,32.15,7.15,0.9993,Normal
2024-01-01 20:30:00,SUB-01,Substation,5.782,32.23,7.23,0.9996,Normal
2024-01-01 20:35:00,SUB-02,Substation,5.769,32.32,7.32,1.0056,Normal
2024-01-01 20:40:00,SUB-03,Substation,5.764,30.78,5.78,0.9974,Normal
2024-01-01 20:45:00,SUB-01,Substation,5.718,31.22,6.22,1.0014,Normal
2024-01-01 20:50:00,SUB-02,Substation,5.768,31.87,6.87,1.0081,Normal
2024-01-01 20:55:00,SUB-03,Substation,5.78,32.09,7.09,0.9971,Normal
2024-01-01 21:00:00,SUB-01,Substation,5.791,32.39,7.39,0.9981,Normal
2024-01-01 21:05:00,SUB-02,Substation,5.887,31.79,6.79,1.0024,Normal
2024-01-01 21:10:00,SUB-03,Substation,5.804,32.68,7.68,1.0051,Normal
2024-01-01 21:15:00,SUB-01,Substation,5.798,32.24,7.24,1.0165,Normal
2024-01-01 21:20:00,SUB-02,Substation,5.82,31.69,6.69,0.9955,Normal
2024-01-01 21:25:00,SUB-03,Substation,5.829,32.06,7.06,1.0091,Normal
2024-01-01 21:30:00,SUB-01,Substation,5.827,31.6,6.6,1.0105,Normal
2024-01-01 21:35:00,SUB-02,Substation,5.753,31.4,6.4,0.9993,Normal
2024-01-01 21:40:00,SUB-03,Substation,5.744,32.07,7.07,0.9947,Normal
2024-01-01 21:45:00,SUB-01,Substation,5.7,31.74,6.74,1.0048,Normal
2024-01-01 21:50:00,SUB-02,Substation,5.649,32.61,7.61,0.9873,Normal
2024-01-01 21:55:00,SUB-03,Substation,5.755,32.08,7.08,0.9993,Normal
2024-01-01 22:00:00,SUB-01,Substation,5.684,32.05,7.05,0.9981,Normal
2024-01-01 22:05:00,SUB-02,Substation,5.681,31.46,6.46,1.0093,Normal
2024-01-01 22:10:00,SUB-03,Substation,5.713,32.49,7.49,0.9994,Normal
2024-01-01 22:15:00,SUB-01,Substation,5.692,31.79,6.79,0.9963,Normal
2024-01-01 22:20:00,SUB-02,Substation,5.68,30.91,5.91,1.0021,Normal
2024-01-01 22:25:00,SUB-03,Substation,5.67,32.33,7.33,1.0008,Normal
2024-01-01 22:30:00,SUB-01,Substation,5.696,31.96,6.96,1.0008,Normal
2024-01-01 22:35:00,SUB-02,Substation,5.733,31.64,6.64,0.997,Normal
2024-01-01 22:40:00,SUB-03,Substation,5.76,31.93,6.93,1.0042,Normal
2024-01-01 22:45:00,SUB-01,Substation,5.773,32.58,7.58,0.9986,Normal
2024-01-01 22:50:00,SUB-02,Substation,5.738,31.56,6.56,1.0002,Normal
2024-01-01 22:55:00,SUB-03,Substation,5.763,32.84,7.84,0.9943,Normal
2024-01-01 23:00:00,SUB-01,Substation,5.782,32.37,7.37,1.008,Warning
2024-01-01 23:05:00,SUB-02,Substation,5.789,31.85,6.85,0.9958,Normal
2024-01-01 23:10:00,SUB-03,Substation,5.813,32.24,7.24,1.0021,Normal
2024-01-01 23:15:00,SUB-01,Substation,5.829,32.29,7.29,1.0124,Normal
2024-01-01 23:20:00,SUB-02,Substation,5.799,32.07,7.07,0.9928,Warning
2024-01-01 23:25:00,SUB-03,Substation,5.808,32.03,7.03,1.0014,Normal
2024-01-01 23:30:00,SUB-01,Substation,5.805,32.53,7.53,0.9988,Normal
2024-01-01 23:35:00,SUB-02,Substation,5.813,31.83,6.83,0.9918,Normal
2024-01-01 23:40:00,SUB-03,Substation,5.794,32.23,7.23,1.0201,Warning
2024-01-01 23:45:00,SUB-01,Substation,5.78,31.91,6.91,1.0027,Normal
2024-01-01 23:50:00,SUB-02,Substation,5.788,31.77,6.77,0.9923,Normal
2024-01-01 23:55:00,SUB-03,Substation,5.804,32.18,7.18,1.0002,Normal
2024-01-02 00:00:00,SUB-01,Substation,5.85,31.0,6.0,1.0097,Normal
2024-01-02 00:05:00,SUB-02,Substation,5.825,32.17,7.17,1.0004,Normal
2024-01-02 00:10:00,SUB-03,Substation,5.779,31.82,6.82,1.0024,Normal
2024-01-02 00:15:00,SUB-01,Substation,5.742,32.19,7.19,1.0024,Normal
2024-01-02 00:20:00,SUB-02,Substation,5.823,32.45,7.45,1.0078,Normal
2024-01-02 00:25:00,SUB-03,Substation,5.897,32.84,7.84,0.995,Normal
2024-01-02 00:30:00,SUB-01,Substation,5.922,31.76,6.76,1.0022,Normal
2024-01-02 00:35:00,SUB-02,Substation,5.841,31.67,6.67,0.9963,Normal
2024-01-02 00:40:00,SUB-03,Substation,5.877,32.2,7.2,1.0054,Normal
2024-01-02 00:45:00,SUB-01,Substation,5.826,32.54,7.54,0.9988,Normal
2024-01-02 00:50:00,SUB-02,Substation,5.916,32.19,7.19,1.0015,Normal
2024-01-02 00:55:00,SUB-03,Substation,5.92,32.01,7.01,0.9951,Normal
2024-01-02 01:00:00,SUB-01,Substation,5.897,31.6,6.6,1.004,Normal
2024-01-02 01:05:00,SUB-02,Substation,5.915,31.65,6.65,0.9893,Warning
2024-01-02 01:10:00,SUB-03,Substation,5.9,31.99,6.99,1.0087,Normal
2024-01-02 01:15:00,SUB-01,Substation,5.886,30.83,5.83,0.9983,Normal
2024-01-02 01:20:00,SUB-02,Substation,5.788,32.28,7.28,0.9891,Normal
2024-01-02 01:25:00,SUB-03,Substation,5.814,31.91,6.91,0.9932,Normal
2024-01-02 01:30:00,SUB-01,Substation,5.797,31.58,6.58,0.9976,Normal
2024-01-02 01:35:00,SUB-02,Substation,5.781,31.53,6.53,0.9928,Normal
2024-01-02 01:40:00,SUB-03,Substation,5.797,31.98,6.98,1.0134,Normal
2024-01-02 01:45:00,SUB-01,Substation,5.837,32.32,7.32,1.0061,Normal
2024-01-02 01:50:00,SUB-02,Substation,5.938,32.33,7.33,0.9958,Normal
2024-01-02 01:55:00,SUB-03,Substation,5.892,32.13,7.13,1.0066,Normal
2024-01-02 02:00:00,SUB-01,Substation,5.913,32.35,7.35,1.0012,Normal
2024-01-02 02:05:00,SUB-02,Substation,5.87,32.22,7.22,1.0148,Normal
2024-01-02 02:10:00,SUB-03,Substation,5.824,32.35,7.35,0.9981,Normal
2024-01-02 02:15:00,SUB-01,Substation,5.807,31.97,6.97,0.9937,Normal
